NOC,Year,Population
AFG,1936,12000000
AFG,1948,7000000
AFG,1956,7000000
AFG,1960,8996967
AFG,1964,9744772
AFG,1968,10637064
AFG,1972,11791222
AFG,1980,13356500
AFG,1988,11618008
AFG,1996,18853444
AFG,2004,24726689
AFG,2008,27722281
AFG,2012,31161378
AFG,2016,35383028
AHO,1952,
AHO,1960,
AHO,1964,
AHO,1968,
AHO,1972,
AHO,1976,
AHO,1984,
AHO,1988,
AHO,1992,
AHO,1996,
AHO,2000,
AHO,2004,
AHO,2008,
ALB,1972,2243126
ALB,1992,3247039
ALB,1996,3168033
ALB,2000,3089027
ALB,2004,3026939
ALB,2006,2992547
ALB,2008,2947314
ALB,2010,2913021
ALB,2012,2900401
ALB,2014,2889104
ALB,2016,2876101
ALG,1964,
ALG,1968,
ALG,1972,
ALG,1980,
ALG,1984,
ALG,1988,
ALG,1992,
ALG,1996,
ALG,2000,
ALG,2004,
ALG,2006,
ALG,2008,
ALG,2010,
ALG,2012,
ALG,2016,
AND,1976,31782
AND,1980,36063
AND,1984,42706
AND,1988,50433
AND,1992,58882
AND,1994,62676
AND,1996,64363
AND,1998,64140
AND,2000,65390
AND,2002,70048
AND,2004,76250
AND,2006,80995
AND,2008,83860
AND,2010,84454
AND,2012,82427
AND,2014,79213
AND,2016,77295
ANG,1980,
ANG,1988,
ANG,1992,
ANG,1996,
ANG,2000,
ANG,2004,
ANG,2008,
ANG,2012,
ANG,2016,
ANT,1976,
ANT,1984,
ANT,1988,
ANT,1992,
ANT,1996,
ANT,2000,
ANT,2004,
ANT,2008,
ANT,2012,
ANT,2016,
ANZ,1908,
ANZ,1912,
ARG,1900,3376000
ARG,1908,3376000
ARG,1920,6836000
ARG,1924,6836000
ARG,1928,6836000
ARG,1932,8861000
ARG,1936,8861000
ARG,1948,11896000
ARG,1952,14169000
ARG,1956,14169000
ARG,1960,20481781
ARG,1964,21824427
ARG,1968,23168268
ARG,1972,24653172
ARG,1976,26264681
ARG,1980,27896532
ARG,1984,29737097
ARG,1988,31668939
ARG,1992,33529320
ARG,1994,34402669
ARG,1996,35246376
ARG,1998,36063451
ARG,2000,36870796
ARG,2002,37681743
ARG,2004,38491970
ARG,2006,39289876
ARG,2008,40080159
ARG,2010,40788453
ARG,2012,41733271
ARG,2014,42669500
ARG,2016,43590368
ARM,1994,3283664
ARM,1996,3168213
ARM,1998,3108691
ARM,2000,3069597
ARM,2002,3033976
ARM,2004,3000715
ARM,2006,2958301
ARM,2008,2907615
ARM,2010,2877314
ARM,2012,2884239
ARM,2014,2912403
ARM,2016,2936147
ARU,1988,
ARU,1992,
ARU,1996,
ARU,2000,
ARU,2004,
ARU,2008,
ARU,2012,
ARU,2016,
ASA,1988,
ASA,1992,
ASA,1994,
ASA,1996,
ASA,2000,
ASA,2004,
ASA,2008,
ASA,2012,
ASA,2016,
AUS,1896,3107000
AUS,1900,3107000
AUS,1904,3107000
AUS,1906,3107000
AUS,1920,4375000
AUS,1924,4375000
AUS,1928,4375000
AUS,1932,5358000
AUS,1936,5358000
AUS,1948,6469000
AUS,1952,7042000
AUS,1956,7042000
AUS,1960,10276477
AUS,1964,11167000
AUS,1968,12009000
AUS,1972,13177000
AUS,1976,14033000
AUS,1980,14692000
AUS,1984,15544000
AUS,1988,16532200
AUS,1992,17495000
AUS,1994,17855000
AUS,1996,18311000
AUS,1998,18711000
AUS,2000,19153000
AUS,2002,19651400
AUS,2004,20127400
AUS,2006,20697900
AUS,2008,21249200
AUS,2010,22031750
AUS,2012,22733465
AUS,2014,23475686
AUS,2016,24190907
AUT,1896,5394000
AUT,1900,5394000
AUT,1904,5394000
AUT,1906,5394000
AUT,1908,5394000
AUT,1912,5973000
AUT,1924,6614000
AUT,1928,6614000
AUT,1932,6455000
AUT,1936,6455000
AUT,1948,6684000
AUT,1952,6705000
AUT,1956,6705000
AUT,1960,7047539
AUT,1964,7223801
AUT,1968,7415403
AUT,1972,7544201
AUT,1976,7565525
AUT,1980,7549433
AUT,1984,7561434
AUT,1988,7585317
AUT,1992,7840709
AUT,1994,7936118
AUT,1996,7959017
AUT,1998,7976789
AUT,2000,8011566
AUT,2002,8081957
AUT,2004,8171966
AUT,2006,8268641
AUT,2008,8321496
AUT,2010,8363404
AUT,2012,8429991
AUT,2014,8546356
AUT,2016,8736668
AZE,1996,7763000
AZE,1998,7913000
AZE,2000,8048600
AZE,2002,8171950
AZE,2004,8306500
AZE,2006,8484550
AZE,2008,8763400
AZE,2010,9054332
AZE,2012,9295784
AZE,2014,9535079
AZE,2016,9757812
BAH,1952,
BAH,1956,
BAH,1960,
BAH,1964,
BAH,1968,
BAH,1972,
BAH,1976,
BAH,1984,
BAH,1988,
BAH,1992,
BAH,1996,
BAH,2000,
